url,label,length
startedbyamouse.com,0,19
calabriaexchange.com,0,20
8asians.com,0,11
insiderpages.com,0,16
torrentreactor.net,0,18
fandango.com,0,12
congress.gov,0,12
umanitoba.ca,0,12
thaiwebsites.com,0,16
rrstar.com,0,10
facebook.com,0,12
frankbudd.com,0,13
youtube.com,0,11
blogspot.com,0,12
uslsoccer.com,0,13
rottentomatoes.com,0,18
kctribe.com,0,11
thestranger.com,0,15
tripadvisor.com,0,15
answers.com,0,11
wikipedia.org,0,13
columbia.edu,0,12
radio-locator.com,0,17
elpasoymca.org,0,14
last.fm,0,7
homes.com,0,9
yahoo.com,0,9
nytimes.com,0,11
linkedin.com,0,12
wikivisual.com,0,14
yahoo.com,0,9
mvn.com,0,7
scribd.com,0,10
linkedin.com,0,12
ancestry.com,0,12
blogspot.com,0,12
parkopedia.ca,0,13
amazon.com,0,10
thesustainableathlete.com,0,25
brainyhistory.com,0,17
facebook.com,0,12
metrolyrics.com,0,15
freepatentsonline.com,0,21
yahoo.com,0,9
lucinda.net,0,11
squidoo.com,0,11
nytimes.com,0,11
mylife.com,0,10
eurobasket.com,0,14
athlinks.com,0,12
craigslist.org,0,14
oregonlive.com,0,14
pwpeics.se,0,10
thefullwiki.org,0,15
twitter.com,0,11
independentliving.org,0,21
citwf.com,0,9
filecraft.com,0,13
usda.gov,0,8
sportingnews.com,0,16
nga.gov,0,7
baseball-almanac.com,0,20
youtube.com,0,11
boardreader.com,0,15
answers.com,0,11
rhapsody.com,0,12
youtube.com,0,11
veromi.com,0,10
swmedicalcenter.org,0,19
history.com,0,11
metacafe.com,0,12
asiancanadianwritersworkshop.com,0,32
epltalk.com,0,11
arrangeonline.com,0,17
streamingthe.net,0,16
stm.info,0,8
yardbarker.com,0,14
blogspot.com,0,12
youtube.com,0,11
redtube.com,0,11
roadsideamerica.com,0,19
amazon.com,0,10
ancestry.com,0,12
pipl.com,0,8
census-online.us,0,16
tripod.com,0,10
fodors.com,0,10
linkedin.com,0,12
wikia.com,0,9
nla.gov.au,0,10
genealogytrails.com,0,19
pilsudski.org,0,13
twincities.com,0,14
wikipedia.org,0,13
statenews.com,0,13
flightlevel350.com,0,18
reunion.com,0,11
folkartbyrebecca.com,0,20
whitepages.com,0,14
vintagehockeycardsreport.com,0,28
youtube.com,0,11
linkedin.com,0,12
oswegocountytoday.com,0,21
imdb.com,0,8
judgeco.com,0,11
jobeehive.com,0,13
wikipedia.org,0,13
